SRR8245064	SRR8245065	SRR8245066	SRR8245067	SRR8245068	SRR8245069	SRR8245070	SRR8245071	SRR8245072	SRR8245073	SRR8245074	SRR8245075	SRR8245076	SRR8245077
ENSMUSG00000104165.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100868.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025920.20	7	1	16	0	0	13	8	1	5	6	1	0	3	9
ENSMUSG00000089982.8	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSMUSG00000025939.20	47	66	125	68	91	105	76	62	128	138	125	127	72	131
ENSMUSG00000102457.2	1	3	5	3	3	2	3	6	5	5	6	5	5	8
ENSMUSG00000079658.10	160	125	144	204	174	278	254	197	253	131	98	227	212	250
ENSMUSG00000097744.2	2	0	0	3	0	2	3	3	0	0	0	0	0	0
ENSMUSG00000100959.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025940.7	112	132	130	80	118	154	133	89	172	131	132	69	81	167
ENSMUSG00000025779.11	4	1	10	10	10	20	14	6	16	3	7	0	13	6
ENSMUSG00000100093.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091020.4	0	0	0	0	0	0	2	0	0	0	0	0	0	1
ENSMUSG00000101640.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104133.2	0	16	4	2	0	5	6	0	5	0	0	0	4	0
ENSMUSG00000042686.6	2	1	4	5	0	0	0	0	4	1	1	0	2	0
ENSMUSG00000100110.2	3	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000025777.9	17	6	10	17	0	4	7	2	0	0	0	12	0	0
ENSMUSG00000099899.2	1	0	2	0	0	2	0	0	0	0	0	2	0	0
ENSMUSG00000100272.2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000100398.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101589.2	7	1	2	1	0	2	1	3	2	1	3	1	1	3
ENSMUSG00000102048.2	0	0	2	2	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000089534.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067780.4	7	10	5	1	0	13	3	0	3	2	1	1	1	0
ENSMUSG00000100053.2	4	0	0	3	0	0	8	1	0	0	0	0	0	0
ENSMUSG00000085125.8	1	20	3	3	5	0	0	1	1	0	0	0	3	1
ENSMUSG00000025776.14	8	7	10	2	0	7	4	3	0	1	0	0	0	0
ENSMUSG00000099895.2	0	2	0	5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100554.2	0	0	1	9	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000099473.2	3	0	0	0	4	0	1	0	3	0	0	0	0	0
ENSMUSG00000099591.2	3	0	0	0	2	1	2	0	1	0	0	0	0	0
ENSMUSG00000109887.2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102001.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101717.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025774.15	4	3	0	0	0	2	3	4	1	1	3	0	2	1
ENSMUSG00000070977.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073735.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000067773.7	0	0	0	0	0	0	0	0	0	0	0	1	0	4
